brand,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,SIM,Display Type,Display Size,ppi,body ratio,OS,battery_capacity,Price,CPU,ratio,pixel,GPU,Loudspeaker,3.5mm jack,Chipset,Card slot,RAM,Storage
0,True,True,False,2014.0,2,327.0,209.0,128.0,7.2,0,1,8.0,189.0,69.4,0,4100.0,250.0,4.0,0,1024000.0,0,True,True,7,6,1.0,8.0
0,True,True,False,2014.0,2,310.0,209.0,122.0,7.3,0,1,8.0,283.0,72.8,0,4060.0,280.0,8.0,0,2304000.0,3,True,True,4,6,2.0,8.0
0,True,True,False,2014.0,2,175.0,160.5,81.6,7.9,0,1,6.0,367.0,75.8,0,3100.0,460.0,8.0,1,2073600.0,3,True,True,4,6,2.0,16.0
0,True,False,False,2014.0,2,100.0,112.5,62.0,12.0,1,5,3.5,165.0,52.3,0,1300.0,80.0,2.0,7,153600.0,0,True,True,7,6,0.5,4.0
0,True,False,False,2014.0,2,150.0,132.5,67.9,10.0,0,5,4.5,218.0,62.0,0,1800.0,100.0,4.0,1,409920.0,0,True,True,7,6,0.5,4.0
0,True,False,False,2014.0,2,116.0,122.0,64.4,12.0,1,5,4.0,233.0,58.0,0,1300.0,40.0,2.0,10,384000.0,0,True,True,7,6,0.5,4.0
0,True,True,False,2014.0,2,279.0,192.0,113.0,9.0,0,1,7.0,170.0,63.6,0,3240.0,190.0,4.0,1,614400.0,0,True,True,7,6,1.0,4.0
0,True,True,False,2014.0,2,162.0,141.0,72.0,9.4,0,1,5.0,220.0,67.9,0,3000.0,140.0,4.0,1,518400.0,0,True,True,7,6,1.0,4.0
0,True,True,False,2014.0,2,130.0,123.0,64.4,9.9,0,5,4.0,233.0,57.5,0,2000.0,120.0,4.0,10,384000.0,0,True,True,7,6,1.0,4.0
0,True,False,False,2014.0,2,103.0,129.0,63.5,8.2,0,1,4.5,245.0,68.1,11,1700.0,70.0,2.0,1,518400.0,0,True,True,7,6,0.5,4.0
0,True,False,False,2014.0,2,100.0,112.2,62.0,12.0,0,5,3.5,165.0,52.4,11,1300.0,30.0,2.0,7,153600.0,0,True,True,7,6,0.5,4.0
0,True,True,False,2014.0,2,126.0,136.5,69.7,7.5,0,1,5.0,294.0,72.4,0,2150.0,280.0,4.0,1,921600.0,0,True,True,7,6,1.0,8.0
0,True,True,False,2014.0,2,116.0,129.5,63.5,8.5,0,1,4.5,245.0,67.9,0,2000.0,200.0,4.0,1,518400.0,0,True,True,7,6,1.0,4.0
0,True,False,False,2014.0,2,110.0,129.0,63.5,7.9,0,1,4.5,245.0,68.1,0,1700.0,160.0,4.0,1,518400.0,0,True,True,7,6,1.0,4.0
0,True,False,False,2014.0,2,189.0,151.0,77.5,9.5,0,1,5.5,200.0,71.3,0,2500.0,140.0,4.0,1,518400.0,0,True,True,7,6,1.0,4.0
0,True,False,False,2014.0,2,285.0,192.0,113.0,8.9,0,5,7.0,170.0,63.6,0,3240.0,160.0,2.0,1,614400.0,3,True,True,4,6,1.0,4.0
0,True,False,False,2013.0,2,130.0,130.3,67.0,9.0,0,5,4.5,245.0,63.9,0,1800.0,110.0,4.0,1,518400.0,5,True,True,4,6,1.0,4.0
0,True,False,False,2013.0,2,136.5,121.5,64.0,11.8,1,5,4.0,233.0,58.6,0,1400.0,70.0,4.0,10,384000.0,5,True,True,4,6,0.5,4.0
0,True,False,False,2013.0,2,162.0,141.0,71.8,9.9,0,5,5.0,196.0,68.0,0,1900.0,130.0,4.0,1,409920.0,0,True,True,4,6,0.5,4.0
0,True,False,False,2013.0,2,157.0,131.5,67.9,11.5,1,5,4.5,218.0,62.5,0,1800.0,100.0,2.0,1,409920.0,0,True,True,4,6,0.5,4.0
0,True,False,False,2013.0,2,110.0,122.0,64.4,12.0,1,5,4.0,233.0,58.0,0,1300.0,80.0,2.0,10,384000.0,3,True,True,4,6,0.5,4.0
0,True,False,False,2013.0,2,100.0,112.5,62.0,12.0,1,5,3.5,165.0,52.3,0,1300.0,70.0,2.0,7,153600.0,0,True,True,4,6,0.5,4.0
0,True,False,False,2013.0,2,117.4,138.0,66.6,7.5,0,1,4.7,312.0,66.3,0,2000.0,360.0,4.0,1,921600.0,5,True,True,4,1,1.0,16.0
0,True,False,False,2013.0,2,177.6,158.5,80.6,8.5,0,1,6.0,367.0,77.7,0,3400.0,370.0,4.0,1,2073600.0,5,True,True,4,6,2.0,8.0
0,True,True,False,2013.0,2,110.0,133.5,66.8,7.4,0,1,4.7,312.0,68.3,0,2000.0,160.0,2.0,1,921600.0,5,True,True,4,6,1.0,4.0
0,True,False,False,2013.0,2,96.0,127.1,62.0,7.9,0,1,4.3,228.0,64.7,0,1700.0,130.0,2.0,1,409920.0,3,True,True,4,6,0.5,4.0
0,True,False,False,2013.0,2,118.0,115.0,62.3,12.2,1,5,3.5,165.0,50.9,0,1300.0,50.0,4.0,7,153600.0,0,True,True,4,6,0.25,0.5
0,True,False,False,2013.0,2,130.0,140.4,67.5,6.9,0,1,5.0,441.0,72.7,0,2000.0,370.0,4.0,1,2073600.0,5,True,True,4,6,2.0,8.0
0,True,False,False,2013.0,2,108.0,115.0,62.3,12.2,1,5,3.5,165.0,50.9,11,1400.0,120.0,2.0,7,153600.0,0,True,True,7,6,0.25,0.15625
0,True,False,False,2013.0,2,163.0,143.0,78.4,9.8,1,5,5.0,187.0,63.5,0,2500.0,170.0,2.0,10,384000.0,0,True,True,7,6,0.5,4.0
0,True,False,False,2013.0,2,115.0,134.4,68.5,6.5,0,0,4.65,316.0,64.7,0,1800.0,270.0,2.0,1,921600.0,5,True,False,4,1,1.0,16.0
0,True,False,False,2013.0,2,109.0,133.0,67.5,7.9,0,1,4.66,236.0,66.7,0,1800.0,230.0,2.0,1,518400.0,5,True,True,4,6,1.0,4.0
0,True,False,False,2013.0,2,118.0,115.0,62.3,12.2,1,5,3.5,165.0,50.9,0,1400.0,100.0,4.0,7,153600.0,5,True,True,4,6,0.25,0.5
0,True,False,False,2013.0,2,122.0,115.0,61.2,12.2,1,5,3.5,165.0,51.8,0,1400.0,100.0,4.0,7,153600.0,5,True,True,4,6,0.5,4.0
0,True,False,False,2013.0,2,136.5,121.5,64.0,11.8,1,5,4.0,233.0,58.6,0,1400.0,140.0,4.0,10,384000.0,5,True,True,4,6,0.5,4.0
0,True,False,False,2013.0,2,139.0,131.0,68.0,10.9,1,5,4.5,245.0,62.7,0,1800.0,150.0,2.0,1,518400.0,5,True,True,4,6,0.5,4.0
0,True,True,False,2013.0,2,135.0,144.0,75.0,8.7,0,1,5.0,294.0,63.8,0,2500.0,350.0,4.0,1,921600.0,5,True,True,4,6,1.0,4.0
0,True,False,False,2013.0,2,135.0,144.0,75.0,8.5,0,1,5.0,294.0,63.8,0,2500.0,220.0,4.0,1,921600.0,5,True,True,4,6,1.0,4.0
0,True,False,False,2012.0,2,136.0,114.5,61.0,12.5,1,5,3.5,165.0,52.2,0,1300.0,50.0,4.0,7,153600.0,0,True,True,6,6,0.5,0.5
0,True,False,False,2012.0,2,143.0,129.8,68.0,11.0,1,5,4.3,217.0,59.6,0,1800.0,280.0,2.0,10,384000.0,5,True,True,4,6,1.0,4.0
0,True,False,False,2012.0,2,143.0,129.8,68.0,11.0,1,5,4.3,217.0,59.6,0,1800.0,250.0,2.0,10,384000.0,5,True,True,4,6,1.0,4.0
0,True,False,False,2012.0,2,155.0,119.9,66.0,13.7,1,5,3.5,165.0,46.1,0,1400.0,380.0,4.0,7,153600.0,0,True,True,7,6,0.5,1.0
0,True,False,False,2012.0,2,136.0,116.0,61.8,12.5,1,5,3.5,165.0,50.9,0,1300.0,110.0,4.0,7,153600.0,5,True,True,4,6,0.25,0.5
0,True,False,False,2012.0,2,124.0,128.0,68.0,9.8,1,5,4.3,217.0,60.5,0,1500.0,220.0,4.0,10,384000.0,0,True,True,7,6,0.5,2.0
0,True,False,False,2011.0,2,123.0,112.0,58.6,12.1,1,5,3.2,180.0,46.5,0,1300.0,100.0,4.0,7,153600.0,5,True,True,4,6,0.25,0.5
0,True,False,False,2011.0,2,123.0,112.0,58.6,12.1,1,5,3.2,180.0,46.5,0,1300.0,130.0,4.0,7,153600.0,5,True,True,4,6,0.25,0.5
1,True,True,True,2023.0,0,187.0,146.6,70.6,8.3,3,4,6.1,461.0,88.2,16,3274.0,1069.0,6.0,11,3013524.0,1,False,False,0,1,8.0,128.0
1,True,True,True,2023.0,0,201.0,160.9,77.8,7.8,3,4,6.7,460.0,88.0,16,4383.0,970.0,6.0,11,3606840.0,1,False,False,0,1,6.0,128.0
1,True,True,True,2023.0,0,171.0,147.6,71.6,7.8,3,4,6.1,461.0,86.4,16,3349.0,838.0,6.0,11,3013524.0,1,False,False,0,1,6.0,128.0
1,True,True,True,2022.0,0,240.0,160.7,77.6,7.9,3,4,6.7,460.0,88.3,16,4323.0,914.11,6.0,11,3606840.0,1,False,False,0,1,6.0,128.0
1,True,True,True,2022.0,0,206.0,147.5,71.5,7.9,3,4,6.1,460.0,87.0,16,3200.0,829.83,6.0,11,3013524.0,1,False,False,0,1,6.0,128.0
1,True,True,True,2022.0,0,203.0,160.8,78.1,7.8,3,4,6.7,458.0,87.4,16,4323.0,550.0,6.0,11,3566952.0,1,False,False,0,1,6.0,128.0
1,True,True,True,2022.0,0,172.0,146.7,71.5,7.8,3,4,6.1,460.0,86.0,16,3279.0,619.22,6.0,11,2962440.0,1,False,False,0,1,6.0,128.0
1,True,True,True,2022.0,0,144.0,138.4,67.3,7.3,3,4,4.7,326.0,65.4,16,2018.0,199.9,6.0,1,1000500.0,1,False,False,0,1,4.0,64.0
1,True,True,True,2021.0,0,240.0,160.8,78.1,7.7,3,4,6.7,458.0,87.4,16,4352.0,709.99,6.0,11,3566952.0,1,False,False,0,1,6.0,128.0
1,True,True,True,2021.0,0,204.0,146.7,71.5,7.7,3,4,6.1,460.0,86.0,16,3095.0,614.0,6.0,11,2962440.0,1,False,False,0,1,6.0,128.0
1,True,True,True,2021.0,0,174.0,146.7,71.5,7.7,3,4,6.1,460.0,86.0,16,3240.0,479.0,6.0,11,2962440.0,1,False,False,0,1,4.0,128.0
1,True,True,True,2021.0,0,141.0,131.5,64.2,7.7,3,4,5.4,476.0,85.1,16,2438.0,449.0,6.0,11,2527200.0,1,False,False,0,1,4.0,128.0
1,True,True,False,2021.0,0,487.0,250.6,174.1,7.5,3,4,10.2,265.0,73.8,17,8557.0,430.0,6.0,9,3499200.0,1,False,True,0,1,3.0,64.0
1,True,True,True,2021.0,0,682.0,280.6,214.9,6.4,3,4,12.9,265.0,85.4,17,10758.0,1200.0,8.0,9,5595136.0,1,False,False,0,1,8.0,128.0
1,True,True,True,2020.0,0,228.0,160.8,78.1,7.4,3,4,6.7,458.0,87.4,16,3687.0,501.89,6.0,11,3566952.0,1,False,False,0,1,6.0,128.0
1,True,True,True,2020.0,0,189.0,146.7,71.5,7.4,3,4,6.1,460.0,86.0,16,2815.0,445.0,6.0,11,2962440.0,1,False,False,0,1,6.0,128.0
1,True,True,True,2020.0,0,164.0,146.7,71.5,7.4,3,4,6.1,460.0,86.0,16,2815.0,346.88,6.0,11,2962440.0,1,False,False,0,1,4.0,64.0
1,True,True,True,2020.0,0,135.0,131.5,64.2,7.4,3,4,5.4,476.0,85.1,16,2227.0,287.0,6.0,11,2527200.0,1,False,False,0,1,4.0,64.0
1,True,True,False,2020.0,0,148.0,138.4,67.3,7.3,3,4,4.7,326.0,65.4,16,1821.0,162.9,6.0,1,1000500.0,1,False,False,0,1,3.0,64.0
1,True,True,False,2020.0,0,641.0,280.6,214.9,5.9,3,1,12.9,265.0,85.4,17,9720.0,1000.0,8.0,9,5595136.0,1,False,False,0,1,6.0,128.0
1,True,True,False,2019.0,0,226.0,158.0,77.8,8.1,3,4,6.5,458.0,83.7,16,3969.0,373.29,6.0,11,3338496.0,1,False,False,0,1,4.0,64.0
1,True,True,False,2019.0,0,188.0,144.0,71.4,8.1,3,4,5.8,458.0,82.1,16,3046.0,314.0,6.0,11,2740500.0,1,False,False,0,1,4.0,64.0
1,True,True,False,2019.0,0,194.0,150.9,75.7,8.3,3,4,6.1,326.0,79.0,16,3110.0,288.99,6.0,11,1483776.0,1,False,False,0,1,4.0,64.0
1,True,True,False,2019.0,0,483.0,250.6,174.1,7.5,3,1,10.2,264.0,74.4,17,8827.0,350.0,4.0,9,3499200.0,5,False,True,0,1,3.0,32.0
1,True,True,False,2019.0,0,456.0,250.6,174.1,6.1,3,1,10.5,265.0,78.3,16,8134.0,550.0,6.0,9,3709632.0,1,False,True,0,1,3.0,64.0
1,True,True,False,2019.0,0,300.5,203.2,134.8,6.1,3,1,7.9,324.0,70.6,16,5124.0,450.0,6.0,9,3145728.0,1,False,True,0,1,3.0,64.0
1,True,True,False,2018.0,0,631.0,280.6,214.9,5.9,3,1,12.9,265.0,85.4,16,9720.0,1100.0,8.0,9,5595136.0,1,False,False,0,1,4.0,64.0
1,True,True,False,2018.0,0,208.0,157.5,77.4,7.7,3,4,6.5,458.0,84.4,16,3174.0,314.0,6.0,11,3338496.0,1,False,False,0,1,4.0,64.0
1,True,True,False,2018.0,0,177.0,143.6,70.9,7.7,3,4,5.8,458.0,82.9,16,2658.0,224.52,6.0,11,2740500.0,1,False,False,0,1,4.0,64.0
1,True,True,False,2018.0,0,194.0,150.9,75.7,8.3,3,4,6.1,326.0,79.0,16,2942.0,216.9,6.0,11,1483776.0,1,False,False,0,1,3.0,64.0
1,True,True,False,2018.0,0,469.0,240.0,169.5,7.5,3,1,9.7,264.0,71.6,16,8827.0,350.0,4.0,9,3145728.0,5,False,True,0,1,2.0,32.0
1,True,True,False,2017.0,0,174.0,143.6,70.9,7.7,2,4,5.8,458.0,82.9,16,2716.0,199.0,6.0,11,2740500.0,1,False,False,0,1,3.0,64.0
1,True,True,False,2017.0,2,202.0,158.4,78.1,7.5,2,4,5.5,401.0,67.4,16,2691.0,340.0,6.0,1,2073600.0,1,False,False,0,1,3.0,64.0
1,True,True,False,2017.0,0,148.0,138.4,67.3,7.3,2,4,4.7,326.0,65.4,16,1821.0,210.0,6.0,1,1000500.0,1,False,False,0,1,2.0,64.0
1,True,True,False,2017.0,0,677.0,305.7,220.6,6.9,3,1,12.9,265.0,76.4,16,891.0,900.0,6.0,9,5595136.0,5,False,True,0,1,4.0,64.0
1,True,True,False,2017.0,0,469.0,250.6,174.1,6.1,3,1,10.5,265.0,78.3,16,8134.0,730.0,6.0,9,3709632.0,5,False,True,0,1,4.0,64.0
1,True,True,False,2017.0,0,469.0,240.0,169.5,7.5,3,1,9.7,264.0,71.6,16,8827.0,390.0,2.0,9,3145728.0,5,False,True,0,1,2.0,32.0
1,True,True,False,2016.0,2,188.0,158.2,77.9,7.3,2,4,5.5,401.0,67.7,16,2900.0,320.0,4.0,1,2073600.0,5,False,False,0,1,3.0,32.0
1,True,True,False,2016.0,2,138.0,138.3,67.1,7.1,2,4,4.7,326.0,65.6,16,1960.0,180.0,4.0,1,1000500.0,5,False,False,0,1,2.0,32.0
1,True,True,False,2016.0,2,437.0,240.0,169.5,6.1,3,1,9.7,264.0,71.6,16,7306.0,690.0,2.0,9,3145728.0,5,False,True,0,1,2.0,32.0
1,True,True,False,2016.0,2,113.0,123.8,58.6,7.6,2,1,4.0,326.0,60.8,16,1624.0,140.0,2.0,1,727040.0,5,True,True,0,1,2.0,16.0
1,True,True,False,2015.0,2,192.0,158.2,77.9,7.3,2,1,5.5,401.0,67.7,16,2750.0,240.0,2.0,1,2073600.0,5,True,True,0,1,2.0,16.0
1,True,True,False,2015.0,2,143.0,138.3,67.1,7.1,2,1,4.7,326.0,65.6,16,1715.0,230.0,2.0,1,1000500.0,5,True,True,0,1,2.0,16.0
